Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
DDIFKF,AD19,M,Profesional,IIT,98,1340,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Local,No aplica
DDIFKG,AD19,F,Profesional,NEG,93,1250,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
DDIFKH,AD19,F,Profesional,ICT,98,1410,1,NO,Perfil A+,No,0,0,19,Sin información,Bajo,Urbano,No,Si,Sin información,Local,No aplica
DDIFKI,AD19,M,Profesional,NEG,92,1420,1,NO,Perfil A+,Si,0.2,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
DDIFKJ,AD19,M,Profesional,AMC,86.5,1150,1,NO,Perfil B,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIFKK,AD19,F,Profesional,ICT,94.2,1390,1,NO,Perfil A+,Si,0.2,0,18,6,Bajo,Urbano,Si,Si,Sin información,Local,No aplica
DDIGBB,AD19,F,Profesional,IIT,92,1210,1,NO,Perfil A,No,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
DDIGBC,AD19,M,Profesional,IIT,98,1530,1,NO,Perfil A+,Si,0.7,0,18,7,Bajo,Urbano,Si,Si,Sin información,Local,No aplica
DDIGBE,AD19,M,Profesional,NEG,88.4,1170,1,NO,Perfil A,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIGBF,AD19,F,Profesional,IIT,98,1400,1,NO,Perfil A+,No,0,0,18,Sin información,Sin información,Rural,No,No,Sin información,Local,No aplica
DDIGBG,AD19,M,Profesional,IIT,97,1340,1,NO,Perfil A,Si,0.45,0.25,18,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
DDIGBH,AD19,F,Profesional,NEG,91,1330,1,NO,Perfil A,Si,0.45,0.25,19,Sin información,Sin información,Urbano,Si,No,No,Local,No aplica
DDIGBI,AD19,M,Profesional,IIT,96.6,1460,1,NO,Perfil A+,Si,0.65,0.25,19,Sin información,Sin información,Urbano,Si,No,Sin información,Local,No aplica
DDIGCD,AD19,M,Profesional,IBQ,98,1380,1,NO,Perfil A+,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIGCE,AD19,M,Profesional,IIT,97,1360,1,NO,Perfil A+,Si,0.35,0.25,18,6,Bajo,Rural,Si,Si,Sin información,Local,No aplica
DDIGCF,AD19,M,Profesional,IBQ,97,1360,1,NO,Perfil A+,Si,0.65,0.25,18,Sin información,Bajo,Urbano,Si,Si,Sin información,Local,No aplica
DDIGCJ,AD19,M,Profesional,ICT,100,1480,1,NO,Perfil A+,Si,0.2,0,19,6,Bajo,Rural,Si,Si,Sin información,Local,No aplica
DDIGCK,AD19,M,Profesional,AMC,95,1370,1,NO,Perfil A+,No,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDIGDB,AD19,M,Profesional,IIT,94.6,1300,1,NO,Perfil A,No,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Local,No aplica
DDIGDC,AD19,M,Profesional,IIT,92.7,1190,1,NO,Perfil A,No,0,0,19,6,Bajo,Rural,No,Si,Sin información,Local,No aplica
