Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
CEIJIDE,AD19,F,Profesional,IBQ,88.85,,1,SI,NC,Si,0,0,20,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIJIDF,AD19,M,Profesional,ESC,87.21,,1,SI,NC,Si,0.2,0.2,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJIDJ,AD19,F,Profesional,IBQ,92.5,1240,1,SI,Perfil A+,Si,0.15,0.15,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJIEC,AD19,M,Profesional,SLD,92.02,1450,1,SI,Perfil A+,Si,0.45,0,18,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,Si
CEIJIED,AD19,F,Profesional,IBQ,87.23,1460,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJIEF,AD19,M,Profesional,ICT,96,1510,1,SI,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJIEH,AD19,F,Profesional,IIT,88.6,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJIEI,AD19,F,Profesional,ICI,91.87,1500,1,SI,Perfil A+,Si,0.4,0.2,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJIEJ,AD19,M,Profesional,NEG,80.5,1280,1,NO,Perfil A,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CEIJIEK,AD19,M,Profesional,IIT,82.14,,1,SI,NC,Si,0.8,0,19,4,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJIFC,AD19,F,Profesional,NEG,87.02,1450,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Sin informacion
CEIJIFE,AD19,M,Profesional,IIT,79,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJIFI,AD19,F,Profesional,NEG,89.1,,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJIFJ,AD19,M,Profesional,NEG,92.57,1500,1,SI,Perfil A+,Si,0.4,0,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJIFK,AD19,F,Profesional,SLD,88.57,1330,1,SI,NC,Si,0,0,18,Sin información,Sin información,Sin información,No,No,Sin información,Foraneo Local,Si
CEIJIGE,AD19,F,Profesional,IBQ,90,1540,1,NO,Perfil A+,Si,0.5,0,19,Sin información,Sin información,Urbano,Si,No,Si,Foraneo Local,No aplica
CEIJIGF,AD19,F,Profesional,IBQ,97.19,1380,1,SI,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No
CEIJIGG,AD19,F,Profesional,NEG,92.35,1100,1,SI,Perfil A+,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No
CEIJIGH,AD19,F,Profesional,SLD,95.07,1550,1,SI,Perfil A+,Si,0.6,0,18,7,Bajo,Urbano,No,No,Si,Foraneo Local,No
CEIJIGI,AD19,F,Profesional,CIS,82,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Sin informacion
CEIJIGJ,AD19,F,Profesional,IBQ,89.47,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Si
CEIJIGK,AD19,M,Profesional,NEG,88.25,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJIHE,AD19,F,Profesional,SLD,94.52,1390,1,SI,Perfil A+,Si,0,0,18,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No
CEIJIHG,AD19,F,Profesional,IIT,95,1450,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CEIJIHH,AD19,M,Profesional,IIT,86.9,1410,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Si,Foraneo Local,No aplica
CEIJIIC,AD19,M,Profesional,IIT,93.5,1440,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CEIJIID,AD19,M,Profesional,IIT,86.67,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Si
CEIJIIE,AD19,M,Profesional,NEG,82.45,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIJIIF,AD19,M,Profesional,NEG,79.6,,1,SI,NC,Si,0,0,20,Sin información,Sin información,Sin información,No,No,Si,Foraneo Local,Sin informacion
CEIJIIH,AD19,M,Profesional,ESC,78.97,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIJIIK,AD19,M,Profesional,NEG,87.65,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIJJIE,AD19,M,Profesional,NEG,84.72,,1,SI,NC,Si,0,0,18,Sin información,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIJJKD,AD19,M,Profesional,IIT,78.09,,1,SI,NC,Si,0,0,20,Sin información,Sin información,Sin información,No,NA,Sin información,Foraneo Local,Si
CEIJKEK,AD19,M,Profesional,IBQ,96.02,1440,1,SI,Perfil A+,Si,0.4,0.25,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKFB,AD19,M,Profesional,IIT,90.37,,1,SI,Perfil A+,Si,0.25,0,19,7,Bajo,Urbano,Si,No,Si,Foraneo Local,Si
CEIJKFC,AD19,F,Profesional,IBQ,90.67,1410,1,SI,Perfil A+,Si,0.7,0,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKFD,AD19,F,Profesional,IBQ,95,1400,1,NO,Perfil A+,No,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CEIJKFE,AD19,M,Profesional,CIS,92.5,1500,1,SI,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJKFG,AD19,F,Profesional,NEG,80.52,,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,Si,No,Foraneo Local,Sin informacion
CEIJKFH,AD19,F,Profesional,IIT,88.02,1310,1,SI,NC,Si,0.2,0.2,19,Sin información,Sin información,Sin información,Si,No,Si,Foraneo Local,Si
CEIJKFJ,AD19,M,Profesional,ICT,87.87,,1,SI,NC,Si,0.2,0.2,20,7,Bajo,Urbano,Si,No,Si,Foraneo Local,Si
CEIJKFK,AD19,F,Profesional,ESC,87,,1,SI,NC,Si,0.15,0,18,Sin información,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKGB,AD19,F,Profesional,AMC,87.35,,1,SI,NC,Si,0.15,0.15,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKGC,AD19,F,Profesional,IIT,96.35,1390,1,NO,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CEIJKGD,AD19,F,Profesional,NEG,87.12,,1,SI,NC,Si,0.7,0,18,7,Bajo,Urbano,Si,No,Si,Foraneo Local,Si
CEIJKGI,AD19,F,Profesional,IBQ,85.82,,1,SI,NC,Si,0.15,0,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,Si
CEIJKGJ,AD19,F,Profesional,NEG,84.56,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIJKGK,AD19,F,Profesional,NEG,94.3,1440,1,NO,Perfil A+,Si,0.4,0,19,7,Bajo,Urbano,Si,No,No,Foraneo Local,No aplica
CEIJKHB,AD19,M,Profesional,ICT,87.35,,1,SI,NC,Si,0.15,0,18,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKHC,AD19,F,Profesional,NEG,87.4,1360,1,NO,Perfil A,Si,0.15,0.15,18,4,Bajo,Rural,Si,No,Sin información,Foraneo Local,No aplica
CEIJKHE,AD19,F,Profesional,IIT,95.73,1520,1,SI,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJKHF,AD19,M,Profesional,NEG,84.62,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIJKHG,AD19,M,Profesional,ICT,93.07,1550,1,SI,Perfil A+,Si,0.5,0.2,18,6,Bajo,Urbano,Si,No,Si,Foraneo Local,Si
CEIJKHH,AD19,M,Profesional,ICT,97.36,1510,1,SI,Perfil A+,Si,0.4,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No
CEIJKHI,AD19,F,Profesional,NEG,89.12,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIJKHJ,AD19,F,Profesional,IIT,86.27,,1,SI,NC,Si,0.1,0.1,18,4,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKIB,AD19,M,Profesional,ESC,89.92,,1,SI,NC,No,0,0,19,6,Bajo,Urbano,Si,Si,Sin información,Foraneo Local,Si
CEIJKIC,AD19,F,Profesional,NEG,88.17,,1,SI,NC,Si,0.8,0,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKIE,AD19,F,Profesional,NEG,88.55,1330,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJKIH,AD19,M,Profesional,ICT,88.6,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJKIJ,AD19,F,Profesional,IIT,87.35,,1,SI,NC,Si,0.9,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKIK,AD19,F,Profesional,AMC,93.17,1370,1,SI,Perfil A+,Si,0.4,0.25,18,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKJC,AD19,F,Profesional,NEG,96.12,1410,1,SI,Perfil A+,Si,0.4,0.25,18,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIJKJF,AD19,F,Profesional,AMC,84.72,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIJKJK,AD19,M,Profesional,AMC,81.42,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIJKKB,AD19,F,Profesional,IIT,82.82,,1,SI,NC,Si,0,0.25,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIJKKC,AD19,F,Profesional,IIT,84.02,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,Si,Si,Foraneo Local,Si
CEIJKKD,AD19,F,Profesional,NEG,80.77,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Si,Foraneo Local,Si
CEIJKKE,AD19,F,Profesional,ICI,84.95,1210,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,No aplica
CEIJKKG,AD19,F,Profesional,NEG,87.8,,1,SI,NC,Si,0.1,0,19,7,Bajo,Urbano,Si,No,No,Foraneo Local,Sin informacion
CEIJKKH,AD19,F,Profesional,NEG,83.77,,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIJKKI,AD19,M,Profesional,IIT,88.65,1410,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,No,Si,Local,No
CEIJKKJ,AD19,F,Profesional,ICT,87.3,,1,SI,NC,Si,0.05,0.05,20,7,Bajo,Urbano,Si,No,No,Foraneo Local,Sin informacion
CEIJKKK,AD19,F,Profesional,NEG,91,1470,1,NO,Perfil A+,Si,0.35,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,No aplica
CEIKBBB,AD19,M,Profesional,CIS,84.3,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Sin informacion
CEIKBHE,AD19,F,Profesional,NEG,80.75,,1,SI,NC,Si,0,0,18,4,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Sin informacion
CEIKBHF,AD19,M,Profesional,ESC,79.37,,1,SI,NC,Si,0,0,18,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKBHI,AD19,M,Profesional,IIT,83,1170,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No aplica
CEIKBIB,AD19,F,Profesional,ICI,92.95,1390,1,SI,Perfil A+,Si,0.4,0,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKBIC,AD19,F,Profesional,NEG,84.9,,1,SI,NC,Si,0,0.25,19,7,Bajo,Urbano,Si,Si,No,Foraneo Local,Sin informacion
CEIKBIE,AD19,F,Profesional,ESC,83.92,,1,SI,NC,No,0,0,18,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKBIF,AD19,M,Profesional,IIT,89.97,,1,SI,NC,Si,0.15,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKBIG,AD19,M,Profesional,IIT,83.25,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Sin informacion
CEIKBII,AD19,M,Profesional,IIT,85.42,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKBIK,AD19,F,Profesional,NEG,94.8,,1,SI,Perfil A+,Si,0,0,20,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,No
CEIKBJD,AD19,F,Profesional,AMC,83.35,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKBJF,AD19,M,Profesional,NEG,82.5,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKBJG,AD19,F,Profesional,CIS,79.95,,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKBKB,AD19,M,Profesional,IIT,77,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKBKD,AD19,M,Profesional,IIT,91.55,,1,SI,Perfil A+,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKBKE,AD19,F,Profesional,ICT,85.35,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKBKF,AD19,M,Profesional,IIT,94.07,1570,1,SI,Perfil A+,Si,0.6,0,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKBKG,AD19,M,Profesional,ICI,88.57,1360,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKBKH,AD19,M,Profesional,NEG,86.02,,1,SI,NC,Si,0.15,0.15,19,4,Bajo,Urbano,Si,No,Si,Foraneo Local,Sin informacion
CEIKBKI,AD19,F,Profesional,ICT,93.37,1460,1,SI,Perfil A+,Si,0.4,0,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKBKK,AD19,F,Profesional,NEG,84.4,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCBE,AD19,M,Profesional,NEG,89.32,,1,SI,NC,Si,0.9,0,18,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCBH,AD19,F,Profesional,IBQ,84.15,,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,No,Si,Foraneo Local,Si
CEIKCBI,AD19,F,Profesional,NEG,92.6,1350,1,SI,Perfil A+,No,0,0,18,Sin información,Sin información,Sin información,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCBJ,AD19,F,Profesional,CIS,88.57,,1,SI,NC,Si,0.15,0.15,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCBK,AD19,F,Profesional,AMC,84.37,,1,SI,NC,Si,0,0,19,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCCB,AD19,F,Profesional,AMC,93.87,1410,1,SI,Perfil A+,Si,0.4,0,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKCCC,AD19,F,Profesional,SLD,89.65,1480,1,SI,NC,No,0,0,18,Sin información,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCCD,AD19,F,Profesional,SLD,86.85,1380,1,SI,NC,Si,0,0,18,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCCE,AD19,M,Profesional,NEG,94.42,1490,1,SI,Perfil A+,No,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCCF,AD19,M,Profesional,SLD,90.43,1500,1,SI,Perfil A+,Si,0.2,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKCCI,AD19,M,Profesional,IIT,90.17,1400,1,SI,Perfil A+,Si,0.15,0.15,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKCCJ,AD19,M,Profesional,IIT,82.22,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKCDB,AD19,F,Profesional,NEG,89.45,,1,SI,NC,Si,0.15,0.15,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKCDE,AD19,F,Profesional,AMC,88.86,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCDF,AD19,F,Profesional,NEG,92.55,1510,1,SI,Perfil A+,Si,0.4,0,18,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCDG,AD19,F,Profesional,CIS,94.63,1470,1,SI,Perfil A+,Si,0.4,0,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCDH,AD19,M,Profesional,NEG,80.34,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCDI,AD19,M,Profesional,ESC,94,1430,1,NO,Perfil A+,No,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CEIKCDJ,AD19,F,Profesional,ESC,90.2,,1,SI,Perfil A+,Si,0,0,18,7,Bajo,Urbano,No,No,No,Foraneo Local,Si
CEIKCEC,AD19,F,Profesional,CIS,91.55,1330,1,SI,Perfil A+,Si,0.2,0.2,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCED,AD19,F,Profesional,ESC,94.55,,1,SI,Perfil A+,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCEF,AD19,F,Profesional,NEG,90.57,,1,SI,Perfil A+,Si,0.25,0.25,19,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Sin informacion
CEIKCEH,AD19,F,Profesional,NEG,90.15,,1,SI,Perfil A+,Si,0,0,18,6,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKCEI,AD19,F,Profesional,ESC,88.45,,1,SI,NC,Si,0.15,0.15,19,7,Bajo,Urbano,Si,Si,Sin información,Foraneo Local,Si
CEIKCEJ,AD19,F,Profesional,AMC,87.42,,1,SI,NC,No,0,0,19,Sin información,Sin información,Sin información,No,No,Si,Foraneo Local,Sin informacion
CEIKCEK,AD19,F,Profesional,NEG,95.1,1250,1,NO,Perfil A,No,0,0,19,4,Medio,Urbano,No,No,Sin información,Foraneo Local,No aplica
CEIKCFC,AD19,F,Profesional,IBQ,88.09,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCFD,AD19,F,Profesional,SLD,82.47,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCFE,AD19,F,Profesional,SLD,84.46,1350,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCFI,AD19,M,Profesional,NEG,85.7,,1,SI,NC,Si,0.15,0,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKCGC,AD19,F,Profesional,NEG,82.95,,1,SI,NC,Si,0,0,20,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCGD,AD19,M,Profesional,NEG,87.22,,1,SI,NC,Si,0.35,0.25,18,7,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKCGG,AD19,M,Profesional,IBQ,96.27,1570,1,SI,Perfil A+,Si,0.6,0,19,7,Bajo,Urbano,Si,No,Si,Foraneo Local,No
CEIKCGJ,AD19,M,Profesional,NEG,78.27,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No
CEIKCHB,AD19,M,Profesional,AMC,83.62,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCHC,AD19,M,Profesional,NEG,81.68,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Sin información,No,No,Si,Foraneo Local,Sin informacion
CEIKCHF,AD19,M,Profesional,ESC,80.02,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKCHH,AD19,M,Profesional,NEG,87.25,,1,SI,NC,Si,0.15,0,19,Sin información,Sin información,Sin información,Si,No,Si,Foraneo Local,Si
CEIKCHJ,AD19,M,Profesional,NEG,79.9,,1,SI,NC,Si,0,0,20,7,Bajo,Urbano,No,No,No,Foraneo Local,Si
CEIKCIC,AD19,M,Profesional,NEG,91.25,,1,SI,Perfil A+,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Si,Foraneo Local,Sin informacion
CEIKCJC,AD19,M,Profesional,IBQ,81.57,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKCJD,AD19,F,Profesional,SLD,95.04,1480,1,SI,Perfil A+,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKCJE,AD19,F,Profesional,ESC,91.05,1210,1,SI,Perfil A+,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDHC,AD19,F,Profesional,AMC,88.4,,1,SI,NC,Si,0,0,18,6,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKDHE,AD19,F,Profesional,AMC,81.82,,1,SI,NC,Si,0,0.25,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKDHF,AD19,F,Profesional,NEG,88.85,,1,SI,NC,Si,0.2,0.2,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Foraneo Local,Si
CEIKDHG,AD19,F,Profesional,IBQ,85.15,1170,1,SI,NC,Si,0,0,18,6,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDHJ,AD19,F,Profesional,NEG,80.53,1270,1,NO,Perfil A,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No aplica
CEIKDHK,AD19,F,Profesional,CIS,91.67,,1,SI,Perfil A+,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDIC,AD19,M,Profesional,NEG,79,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Sin informacion
CEIKDID,AD19,F,Profesional,ICT,83.55,1120,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKDIE,AD19,F,Profesional,NEG,91.32,1460,1,SI,Perfil A+,No,0,0,18,6,Bajo,Sin información,Si,Si,Sin información,Foraneo Local,No
CEIKDIG,AD19,M,Profesional,IIT,87.71,,1,SI,NC,No,0,0,19,6,Bajo,Sin información,No,No,Sin información,Foraneo Local,Sin informacion
CEIKDIH,AD19,M,Profesional,IIT,91.52,,1,SI,Perfil A+,Si,0,0,19,4,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Sin informacion
CEIKDII,AD19,M,Profesional,IIT,83.45,,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,Si,Sin información,Foraneo Local,Sin informacion
CEIKDIJ,AD19,F,Profesional,IBQ,84.65,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDIK,AD19,F,Profesional,NEG,83.17,,1,SI,NC,No,0,0,19,6,Bajo,Urbano,Si,No,Sin información,Foraneo Local,Si
CEIKDJB,AD19,M,Profesional,CIS,87.9,,1,SI,NC,Si,0,0,18,6,Bajo,Sin información,No,Si,Sin información,Foraneo Local,Si
CEIKDJC,AD19,M,Profesional,IBQ,89.92,,1,SI,NC,Si,0.05,0.05,19,Sin información,Sin información,Urbano,Si,No,Sin información,Foraneo Local,No
CEIKDJD,AD19,M,Profesional,NEG,91.07,1410,1,SI,Perfil A+,Si,0.4,0,18,6,Bajo,Urbano,Si,Si,Sin información,Foraneo Local,No
CEIKDJE,AD19,F,Profesional,IIT,89.37,1200,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDJF,AD19,F,Profesional,AMC,87.27,,1,SI,NC,Si,0,0,18,6,Bajo,Sin información,No,Si,Sin información,Foraneo Local,Sin informacion
CEIKDJH,AD19,F,Profesional,AMC,90.45,,1,SI,Perfil A+,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDJK,AD19,M,Profesional,AMC,86.87,,1,SI,NC,Si,0,0,19,6,Bajo,Sin información,No,Si,Sin información,Foraneo Local,Si
CEIKDKE,AD19,M,Profesional,NEG,85.87,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Si
CEIKDKH,AD19,F,Profesional,IBQ,87.47,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Si,Foraneo Local,Sin informacion
CEIKDKJ,AD19,M,Profesional,NEG,89.12,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
CEIKEBD,AD19,F,Profesional,SLD,84.9,,1,SI,NC,Si,0,0,18,Sin información,Sin información,Urbano,No,Si,Sin información,Foraneo Local,Si
CEIKEBE,AD19,F,Profesional,IIT,82.92,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,No
CEIKEBF,AD19,F,Profesional,NEG,82.4,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Foraneo Local,No
CEIKEBH,AD19,F,Profesional,SLD,89,1380,1,SI,NC,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Foraneo Local,Sin informacion
